,image_path,question,answer,fact_link,fact
0,./data_v3/images/110200720220621132140.jpg,프레첼은 무슨 과자에 속할까,양과자,ko.dbpedia/578,"['프레첼', 'subject', '양과자']"
1,./data_v3/images/110400120220621174731.jpg,철도나 도로에 있어서 교통 안전 확보를 위한 장치는 무엇일까,신호등,"ko.dbpedia/315,ko.dbpedia/316","['신호등', 'subject', '신호등']"
2,./data_v3/images/110200820220621142828.jpg,이미지 속 캐나다 요리는 뭐야,도넛,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
3,./data_v3/images/110200820220621143016.jpg,이미지 안 영국에서 만들어진 요리는 뭐야,도넛,ko.dbpedia/521,"['도넛', 'subject', '영국_요리']"
4,./data_v3/images/110101620220620154932.jpg,트럼펫은 무슨 악기야,기명악기,ko.dbpedia/737,"['트럼펫', 'subject', '기명악기']"
5,./data_v3/images/110100120220620140906.jpg,기명악기에 속하는 악기는 무엇이니,아코디언,ko.dbpedia/690,"['아코디언', 'subject', '기명악기']"
6,./data_v3/images/120100420220622173631.jpg,잠자리는 무엇에 속하는 동물이니,유시아강,ko.dbpedia/1628,"['잠자리', '아강', '유시아강']"
7,./data_v3/images/110200320220621160416.jpg,이미지 속 독일 요리는 무엇이야,햄버거,ko.dbpedia/597,"['햄버거', 'subject', '독일_요리']"
8,./data_v3/images/120100120220622144442.jpg,개미는 무엇에 속한 동물일까,말벌상과,ko.dbpedia/1369,"['개미', '상과', '말벌상과']"
9,./data_v3/images/110100520220620181206.jpg,드럼은 무슨 악기야,타악기,ko.dbpedia/654,"['드럼_세트', 'subject', '타악기']"
10,./data_v3/images/110101720220620182739.jpg,이미지 속 바이올린은 무슨 악기지,현명악기,ko.dbpedia/670,"['바이올린', 'subject', '현명악기']"
11,./data_v3/images/110200320220621153216.jpg,이미지 안 햄버거 종류인 음식은 어디에 속하니,길거리 음식,"ko.dbpedia/595,ko.dbpedia/599","['햄버거', 'subject', '길거리_음식']:['햄버거', 'subject', '햄버거']"
12,./data_v3/images/110200520220621170013.jpg,이미지 속 음식은 어느 나라 요리일까,이탈리아,ko.dbpedia/582,"['피자', 'subject', '이탈리아_요리']"
13,./data_v3/images/120100120220622140712.jpg,개미는 다른 생물과 무엇을 하는 곤충이야,공생,ko.dbpedia/1363,"['개미', 'subject', '공생']"
14,./data_v3/images/120100220220624114845.jpg,벌은 무슨 동물이니,절지동물,ko.dbpedia/1547,"['벌_(곤충)', '문', '절지동물']"
15,./data_v3/images/110101420220620135005.jpg,1840년대 초에 아돌프 삭스가 발명한 악기는 뭐야,색소폰,"ko.dbpedia/677,ko.dbpedia/679","['색소폰', 'subject', '색소폰']"
16,./data_v3/images/120100420220622183136.jpg,이미지 속 잠자리목 절지동물은 무엇일까,잠자리,"ko.dbpedia/1626,ko.dbpedia/1627","['잠자리', '문', '절지동물']"
17,./data_v3/images/120100220220622153839.jpg,벌은 무엇에 해당하는 곤충일까,꿀벌상과,ko.dbpedia/1548,"['벌_(곤충)', '상과', '꿀벌상과']"
18,./data_v3/images/110200720220621181724.jpg,양과자에 속하는 것 은 뭘까,프레첼,ko.dbpedia/578,"['프레첼', 'subject', '양과자']"
19,./data_v3/images/110200820220621142215.jpg,이미지 속 음식은 어느 나라 요리니,캐나다 요리,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
20,./data_v3/images/120100320220622161945.jpg,나비는 어떤 곤충이야,선훼아목,ko.dbpedia/1415,"['나비', '아목', '선훼아목']"
21,./data_v3/images/110200820220621142642.jpg,이미지 속 중국 요리는 무엇일까,도넛,"ko.dbpedia/524,ko.dbpedia/525","['도넛', 'subject', '중국_요리']:['도넛', 'subject', '도넛']"
22,./data_v3/images/110100520220620163821.jpg,드럼 세트는 무슨 악기에 속하니,타악기,ko.dbpedia/654,"['드럼_세트', 'subject', '타악기']"
23,./data_v3/images/110100120220620132624.jpg,사람이 연주하고 있는 기명악기의 이름은 뭐야,아코디언,ko.dbpedia/690,"['아코디언', 'subject', '기명악기']"
24,./data_v3/images/110100820220620160859.jpg,이미지 속에 현명악기는 뭐야,기타,ko.dbpedia/648,"['기타', 'subject', '현명악기']"
25,./data_v3/images/110100520220620164011.jpg,드럼 세트는 무슨 악기니,타악기,ko.dbpedia/654,"['드럼_세트', 'subject', '타악기']"
26,./data_v3/images/120100220220624114950.jpg,벌은 무슨 동물에 속하는 곤충일까,절지동물,ko.dbpedia/1547,"['벌_(곤충)', '문', '절지동물']"
27,./data_v3/images/110200820220621140018.jpg,도넛은 어느 나라 요리니,캐나다 요리,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
28,./data_v3/images/110101320220620112139.jpg,피아노는 어느 나라 발명품이야,이탈리아,ko.dbpedia/757,"['피아노', 'subject', '이탈리아의_발명품']"
29,./data_v3/images/110200820220621142509.jpg,이미지 속 캐나다 요리는 뭐야,도넛,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
